# Palmyra Island Fossil Coral Oxygen Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# This file is new 2013 data from linked earth pasted below header from LMR 03cpac01a.txt (collection name below was 03cpac01a)
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1875
#
# Original_Source_URL: http://wiki.linked.earth/Palmyra.Cobb.2013
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2003-07-01
#--------------------
# Title
#	Study_Name: Palmyra Island Fossil Coral Oxygen Isotope Data
#--------------------
# Investigators
#       Investigators: Cobb, K.M.; Charles, C.D.; Cheng, H.; Edwards, R.L.
#--------------------
# Description_and_Notes
#	Description: The data are oxygen isotopic measurements from modern and fossil corals  collected from Palmyra Island (6???N, 162???W). The modern coral was drilled  in ~30' of water, while the fossil corals were drilled from large heads  scattered on three ocean-facing beaches at Palmyra. The corals were dated  using U/Th chemistry, and then overlapping sequences were spliced together,  guided by matching d18O variability. The sequences range in age from 930A.D.  to the 20th century, are 30 to 150 years long, and are presented at  monthly resolution. The sample names refer to collection sites on  Palmyra Island (see Figure 1 of Nature paper). See Supplementary Info.  associated with the Nature article for more detailed geochemical and  chronological information.
#--------------------
# Publication 
#@article{Emile-Geay2013,
#author = {Emile-Geay, Julien and Cobb, Kimberly M. and Mann, Michael E. and Wittenberg, Andrew T.},
#doi = {10.1175/JCLI-D-11-00510.1},
#journal = {Journal of Climate},
#number = {7},
#pages = {2302--2328},
#title = {{Estimating central equatorial pacific SST variability over the past millennium. Part I: Methodology and validation}},
#volume = {26},
#year = {2013}
# Publication 
#@article{Cobb2003,
#author = {Cobb, Kim M. and Charles, Christopher D. and Cheng, Hai and Edwards, R. Lawrence},
#doi = {10.1038/nature01779},
#issn = {0028-0836},
#journal = {Nature},
#month = {jul},
#number = {6946},
#pages = {271--276},
#publisher = {Nature Publishing Group},
#title = {{El Ni{\~{n}}o/Southern Oscillation and tropical Pacific climate during the last millennium}},
#url = {http://www.nature.com/articles/nature01779},
#volume = {424},
#year = {2003}
#------------------
# Funding_Agency 
#       Funding_Agency_Name: NOAA
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: NSF
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: Khaled bin Sultan Living Ocean Foundation
#       Grant: 
#------------------
# Funding_Agency 
#       Funding_Agency_Name: The Nature Conservancy
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Palmyra Island, Central Pacific
#       Location: Ocean>Pacific Ocean>Central Pacific Ocean 
#	Country: United States 
#	Northernmost_Latitude: 5.87 
# 	Southernmost_Latitude: 5.87 
# 	Easternmost_Longitude: -162.13 
# 	Westernmost_Longitude: -162.13 
# 	Elevation:  -9 m  
#------------------
# Data_Collection   
#	Collection_Name: palmyra2013
#	Earliest_Year: 928.125
#	Most_Recent_Year: 1998.377 
#	Time_Unit: y_ad 
#	Core_Length: 
#	Notes: {"database":{"database1":"LMR", "database2":"PAGES2kv2"}}{"climateInterpretation":{"basis":"", "climateVariable":"T", "climateVariableDetail":"sea@surface", "interpDirection":"negative", "seasonality":"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"}} Sample ID - CH9, +/- 10 years error in  U/Th age calculation
#------------------
# Species
#	Species_Name:
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
# 
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, calcium carbonate, , permil VPDB, , Corals and Sclerosponges, -.06 per mil adjustment applied, ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age	d18O
928.125	-4.651
928.209	-4.631
928.292	-4.629
928.375	-4.562
928.459	-4.58
928.542	-4.442
928.625	-4.546
928.709	-4.574
928.792	-4.513
928.875	-4.423
928.959	-4.546
929.042	-4.471
929.125	-4.428
929.209	-4.523
929.292	-4.657
929.375	-4.605
929.459	-4.561
929.542	-4.534
929.625	-4.589
929.709	-4.556
929.792	-4.532
929.875	-4.579
929.959	-4.571
930.042	-4.539
930.125	-4.538
930.209	-4.573
930.292	-4.627
930.375	-4.678
930.459	-4.66
930.542	-4.712
930.625	-4.865
930.709	-4.901
930.792	-4.799
930.875	-4.744
930.959	-4.73
931.042	-4.7
931.125	-4.688
931.209	-4.728
931.292	-4.825
931.375	-4.763
931.459	-4.652
931.542	-4.704
931.625	-4.763
931.709	-4.719
931.792	-4.673
931.875	-4.635
931.959	-4.689
932.042	-4.61
932.125	-4.605
932.209	-4.699
932.292	-4.663
932.375	-4.723
932.459	-4.927
932.542	-4.997
932.625	-5.015
932.709	-4.886
932.792	-4.727
932.875	-4.742
932.959	-4.74
933.042	-4.696
933.125	-4.643
933.209	-4.657
933.292	-4.684
933.375	-4.826
933.459	-4.976
933.542	-5.049
933.625	-5.186
933.709	-5.197
933.792	-5.01
933.875	-4.77
933.959	-4.669
934.042	-4.485
934.125	-4.421
934.209	-4.443
934.292	-4.458
934.375	-4.449
934.459	-4.44
934.542	-4.461
934.625	-4.483
934.709	-4.469
934.792	-4.391
934.875	-4.436
934.959	-4.458
935.042	-4.585
935.125	-4.384
935.209	-4.441
935.292	-4.448
935.375	-4.548
935.459	-4.614
935.542	-4.601
935.625	-4.616
935.709	-4.421
935.792	-4.393
935.875	-4.385
935.959	-4.374
936.042	-4.335
936.125	-4.376
936.209	-4.481
936.292	-4.554
936.375	-4.558
936.459	-4.594
936.542	-4.691
936.625	-4.706
936.709	-4.682
936.792	-4.612
936.875	-4.551
936.959	-4.401
937.042	-4.426
937.125	-4.396
937.209	-4.459
937.292	-4.555
937.375	-4.679
937.459	-4.734
937.542	-4.791
937.625	-4.883
937.709	-4.782
937.792	-4.704
937.875	-4.666
937.959	-4.622
938.042	-4.579
938.125	-4.586
938.209	-4.626
938.292	-4.596
938.375	-4.613
938.459	-4.586
938.542	-4.497
938.625	-4.607
938.709	-4.574
938.792	-4.529
938.875	-4.441
938.959	-4.39
939.042	-4.366
939.125	-4.356
939.209	-4.349
939.292	-4.397
939.375	-4.345
939.459	-4.505
939.542	-4.518
939.625	-4.57
939.709	-4.538
939.792	-4.335
939.875	-4.282
939.959	-4.36
940.042	-4.198
940.125	-4.182
940.209	-4.274
940.292	-4.38
940.375	-4.503
940.459	-4.467
940.542	-4.393
940.625	-4.408
940.709	-4.453
940.792	-4.402
940.875	-4.396
940.959	-4.326
941.042	-4.193
941.125	-4.278
941.209	-4.529
941.292	-4.473
941.375	-4.512
941.459	-4.617
941.542	-4.534
941.625	-4.57
941.709	-4.453
941.792	-4.403
941.875	-4.41
941.959	-4.51
942.042	-4.281
942.125	-4.305
942.209	-4.454
942.292	-4.49
942.375	-4.502
942.459	-4.51
942.542	-4.463
942.625	-4.468
942.709	-4.309
942.792	-4.309
942.875	-4.533
942.959	-4.572
943.042	-4.385
943.125	-4.35
943.209	-4.349
943.292	-4.357
943.375	-4.407
943.459	-4.411
943.542	-4.373
943.625	-4.367
943.709	-4.323
943.792	-4.3
943.875	-4.313
943.959	-4.379
944.042	-4.336
944.125	-4.222
944.209	-4.292
944.292	-4.405
944.375	-4.494
944.459	-4.393
944.542	-4.217
944.625	-4.326
944.709	-4.288
944.792	-4.202
944.875	-4.214
944.959	-4.207
945.042	-4.098
945.125	-4.189
945.209	-4.425
945.292	-4.541
945.375	-4.641
945.459	-4.841
945.542	-4.984
945.625	-5.043
945.709	-4.956
945.792	-4.832
945.875	-4.623
945.959	-4.611
946.042	-4.397
946.125	-4.344
946.209	-4.391
946.292	-4.538
946.375	-4.699
946.459	-4.781
946.542	-4.856
946.625	-4.921
946.709	-4.722
946.792	-4.559
946.875	-4.648
946.959	-4.474
947.042	-4.436
947.125	-4.467
947.209	-4.578
947.292	-4.652
947.375	-4.71
947.459	-4.71
947.542	-4.741
947.625	-4.817
947.709	-4.683
947.792	-4.612
947.875	-4.514
